id,name,email,gpa
49ec22f7-fdc0-4b7f-add9-c2675195c2ca,Student-49ec2,49ec2@mail.com,1.455102741350237
5ebcfcc7-858f-4625-9541-48bee20b5a46,Student-5ebcf,5ebcf@mail.com,0.3632752134308692
52460e58-4d62-4aed-8bba-a950ce37f1bd,Student-52460,52460@mail.com,2.8431373942132208
82f2f0bc-5045-4e0e-9e4c-48d1a14f2a64,Student-82f2f,82f2f@mail.com,8.466983433249288
e0369daf-e870-404d-b880-08410886b68b,Student-e0369,e0369@mail.com,8.995439990302573
a5f98fb4-1aeb-4dfe-84ae-2b7aeb9b7b3a,Student-a5f98,a5f98@mail.com,5.4547377922439875
4cd7c206-e793-4362-a902-403f82bab8b7,Student-4cd7c,4cd7c@mail.com,5.754474095867932
03c09238-1ea5-43d5-8bcb-9b5dd722ba44,Student-03c09,03c09@mail.com,1.8218656271028033
01fcc73c-25f0-4e92-966b-8e370125adaa,Student-01fcc,01fcc@mail.com,1.8246969977467442
731c5586-35a1-4ffa-8850-6b25a30a8490,Student-731c5,731c5@mail.com,8.012808121219601
ff1d3c87-dd8d-492c-b87c-ae53f7ada25c,Student-ff1d3,ff1d3@mail.com,8.176113447922273
47282fdd-b4d6-424a-afe0-ca10bf286b7b,Student-47282,47282@mail.com,5.2522522404092
851a57e8-87d1-494e-808a-5a7ca59b99ba,Student-851a5,851a5@mail.com,6.4002891231912695
35ba4345-797e-46a1-ac83-f192b9e577e2,Student-35ba4,35ba4@mail.com,0.48640788972610594
f1e2a62c-7823-4b99-a7f8-e600c8bd9b2d,Student-f1e2a,f1e2a@mail.com,7.673494079415876
07dcd602-0dc3-40c8-ab2a-1d0fb31001d2,Student-07dcd,07dcd@mail.com,9.655230504559597
5a569157-bd3c-4fe1-b4a4-1e3baf9a3516,Student-5a569,5a569@mail.com,2.2443510285486292
dca0e3fd-deb5-4884-b2a0-9162f37f209b,Student-dca0e,dca0e@mail.com,3.5906770069971863
902e510d-5d1a-4bd8-9502-850c81a825e4,Student-902e5,902e5@mail.com,6.360749491201362
9a6675d8-6e28-4539-8212-de61d63fed0f,Student-9a667,9a667@mail.com,7.824694159215445
ecef36dd-e965-4641-aac1-56da06471ea5,Student-ecef3,ecef3@mail.com,3.6241115291046078
49e69e6f-e1dd-438e-ba62-ad21417dbc59,Student-49e69,49e69@mail.com,3.644898170787295
3aeb78e5-28b5-4984-b59d-96744d65cf39,Student-3aeb7,3aeb7@mail.com,7.05687802530891
5c154ee3-1645-4537-a286-5b8ea68e2dce,Student-5c154,5c154@mail.com,3.199828345429946
fb7163be-1a47-45f9-81e5-f243e510747c,Student-fb716,fb716@mail.com,3.1497404835394125
4e2b6c8b-5a2b-43f6-b1cd-7975ab72ad89,Student-4e2b6,4e2b6@mail.com,7.585579104168048
bd3e8986-06e2-43e5-9ae5-df65d1fbc5d0,Student-bd3e8,bd3e8@mail.com,7.9786227828492
b704bdec-ec91-4c9b-a44e-6c66d079cdfb,Student-b704b,b704b@mail.com,8.3574006060687
